潍坊潍城颐盛德护理院,潍坊市潍城区309国道与创业路交叉口东南角,106张,2000-6000,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,4006065712
绿康源养老康复中心,潍坊市峡山区岞山街道昌盛街,322张,1580-4960,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
锦年华颐养中心,健康街四平路玛丽医院南100米,120张,1500-3000,自理 半自理/半失能 不能自理/失能卧床 ,可接收异地老人 ,请登陆后查看
潍坊幸福梦居家养老服务中心,山东省潍坊市潍城区鸢都新城小区34号楼,40张,1300-2300,自理 半自理/半失能 不能自理/失能卧床 ,可接收异地老人 ,请登陆后查看
潍坊康之源康养养老服务有限公司,潍坊市潍城区健康西街与爱国路东北角益民医院四楼,100张,1500-6000,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
潍坊鹤祥安养中心,潍坊市高新区宝通街与金马路口南500米路西鹤祥健康城,380张,1900-4900,半自理/半失能 不能自理/失能卧床 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
大型人民医院办医养融合中心,潍坊市潍城区卧龙西街与彩虹路交叉口西300米路北（潍城区政府北邻）,1000张,1500-3000,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
青州市天同医养院,青州市驼山中路2366号,200张,1500-5000,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省潍坊市高密市养老托老中心,高密市凤凰大街东首（高密市妇幼保健院东500米）,130张,1700-5400,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省潍坊市临朐县以琳老年公寓,临朐县冶源镇水库大桥西侧,180张,1000-3000,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省潍坊市临朐县以琳残疾人托养院,山东省临朐县冶源镇冶源水库大桥西侧,180张,1000-3000,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
临朐县新岳养老产业有限公司,山东省潍坊市临朐县东城街道兴隆东路5355号辰泰大厦901室,10000张,2900-12000,自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 ,具备医保定点资格 ,请登陆后查看
山东香柏老年人养护服务有限责任公司,山东潍坊金马路桐荫街香柏养老大厦,500张,3600-7600,自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 候鸟旅居 ,可接收异地老人 ,请登陆后查看
山东潍坊颐养家苑居家养老服务中心,山东潍坊东风街向阳路口南200米路西,200张,2500-5000,自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 候鸟旅居 ,可接收异地老人 ,请登陆后查看
山东潍坊高新区香柏日间照料服务中心,山东潍坊金马路桐荫街银枫家园5号楼,200张,3000-7000,自理 半自理/半失能 不能自理/失能卧床 特护 候鸟旅居 ,可接收异地老人 ,请登陆后查看
山东潍坊方舟养老服务有限责任公司,山东潍坊北宫街怡园路口北100米路东,200张,3000-7000,自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 候鸟旅居 ,可接收异地老人 ,请登陆后查看
潍坊市奎文区四季青养老服务中心,山东省潍坊市盛世豪廷34号楼林润大厦4楼,130张,2000-6000,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
潍坊市康泰养老中心,潍坊市奎文区福寿街与虞河路交叉口东北角向东300米人民防空斜对面,80张,1500-3000,自理 半自理/半失能 不能自理/失能卧床 ,可接收异地老人 ,请登陆后查看
潍坊福寿康乐老年服务中心,潍坊市坊子区南眉村,100张,1000-2000,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人 ,请登陆后查看
青州市魏仕国际老年养生公寓,地址：山东省青州市经济开发区海岱北路1299号,100张,1000-2000,不能自理/失能卧床 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
华都颐年园养老集团,山东省潍坊市潍城区福源街518号（潍坊医学院新校区南门东一公里路南）,3000张,1500-8000,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
潍坊潍城经济开发区医院附属养老中心,潍坊市潍城区卧龙西街8029号（潍坊潍城经济开发区医院）,789张,1700-3000,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
诸城长虹中医医院养老中心,山东省诸城市东武街金东世纪城南门东侧,36张,1000-4000,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
诸城市顺颐园休闲养老中心,诸城市历山路南潍河路502号,212张,1000-4000,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
潍坊市福寿康养老院,潍坊市奎文区丁家道口东路8,120张,1200-3000,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
青州市万福园老年公寓,山东省青州市高柳镇东马兰村,400张,1200-3500,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
昌邑市奎聚养老服务中心,山东省昌邑市解放路南首东侧,230张,900-2100,自理 ,可接收异地老人 ,请登陆后查看
潍坊潍城宝叶养老护理院,潍坊市潍城区卧龙西街8029号（潍城区政府北邻）,500张,2000-5000,自理 半自理/半失能 不能自理/失能卧床 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
桂霞居家式托老所,山东省潍坊市奎文区虞河路与北宫街交叉口附属医院对面,32张,1200-3400,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人 ,请登陆后查看
潍坊康乐养老服务中心,山东省潍坊市新华路健康街梨园小区,6张,100-2500,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
