阿拉尔市十六团康恩养老院（残疾人托养中心）,"所在地区：
                    新疆 -                     阿拉尔市 -                     阿拉尔市",机构性质：公建民营,负  责  人：霍爱荣,开业时间：2021年10月1日,占地面积：5910,建筑面积：3084,床位数：85张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍",联  系  人：乔羽楠,地        址：新疆阿拉尔市十六团开拓路90号
阿拉尔市八团塔门镇康之乐养老院（残疾人托养中心）,"所在地区：
                    新疆 -                     阿拉尔市 -                     阿拉尔市",机构性质：公建民营,负  责  人：王招红,开业时间：2022年8月1日,占地面积：3215,建筑面积：1600,床位数：54张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：郭让霞,地        址：新疆自治区第一师阿拉尔市八团塔门镇多浪南路83号
阿拉尔市银龄大家庭老年公寓（残疾人托养中心）,"所在地区：
                    新疆 -                     阿拉尔市 -                     阿拉尔市",机构性质：公建民营,负  责  人：李敏慈,开业时间：2017年7月1日,占地面积：22000平,建筑面积：10840平,床位数：260张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 认知障碍",联  系  人：李敏慈,地        址：阿拉尔市塔门路北1777号
第三师图木舒克市粤康社会福利院,"所在地区：
                    新疆 -                     喀什地区 -                     疏勒县",机构性质：公办,负  责  人：张瑞,开业时间：2021年9月15日,占地面积：33亩,建筑面积：1.8万平,床位数：470张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：张瑞,地        址：新疆喀什地区疏勒县四十一团草湖镇春熙路2号
新疆维泰康养社区,"所在地区：
                    新疆 -                     乌鲁木齐市 -                     头屯河区",机构性质：公办,负  责  人：胥志奎,开业时间：2022年2月16日,占地面积：115亩,建筑面积：16万平方米,床位数：2000张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：胥志奎,地        址：新疆乌鲁木齐市头屯河区科创路西四巷166号
奎屯市爱心养老护理院,"所在地区：
                    新疆 -                     伊犁哈萨克自治州 -                     奎屯市",机构性质：民办,负  责  人：肖兴长,开业时间：2021年4月1日,占地面积：5000平方米,建筑面积：4000平方米,床位数：200张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：肖兴长,地        址：新疆伊犁奎屯市西花园小区154栋
昌吉厚德养老院,"所在地区：
                    新疆 -                     昌吉回族自治州 -                     昌吉市",机构性质：民办,开业时间：2019年8月26日,占地面积：48.66亩,建筑面积：32000平方米,床位数：800张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：3000 - 6700,联  系  人：张女士,地        址：新疆昌吉市六工镇镇政府西侧200米（经三路314号）
第十二师康悦养老院,"所在地区：
                    新疆 -                     乌鲁木齐市 -                     头屯河区",机构性质：公建民营,负  责  人：李先生,开业时间：2019年10月20日,占地面积：50000平方米,建筑面积：14000平方米,床位数：270张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍",联  系  人：桂院长,地        址：新疆省乌鲁木齐市头屯河区安二路第十二师康悦养老院
公园壹号老年养护院,"所在地区：
                    新疆 -                     乌鲁木齐市 -                     水磨沟区",机构性质：民办,负  责  人：王女士,开业时间：2018年7月-8月,占地面积：500,建筑面积：2436,床位数：51张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：王女士,地        址：乌鲁木齐市水磨沟区五星北路东二巷公园壹号老年养护院
第二师老年公寓,"所在地区：
                    新疆 -                     巴音郭楞蒙古自治州 -                     库尔勒市",机构性质：公办,负  责  人：韩姁,占地面积：8000平方米,建筑面积：12000平方米,床位数：300张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护",收费区间：1200 - 3600,联  系  人：韩姁,地        址：新疆巴音郭楞蒙古自治州库尔勒市天山西路23号小区
新疆石河子军垦养老院,"所在地区：
                    新疆 -                                         石河子市",机构性质：民办,负  责  人：陈新,开业时间：2005年,占地面积：3800平方,床位数：350张,"收住对象：
                    自理 特护",收费区间：850 - 2200,联  系  人：陈新,地        址：石河子市六小区
同德老年公寓,"所在地区：
                    新疆 -                     乌鲁木齐市 -                     水磨沟区",机构性质：民办,负  责  人：赵丽,开业时间：2012年12月10日,占地面积：1600,床位数：120张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：1200 - 3000,联  系  人：赵丽,地        址：乌鲁木齐水磨沟区六道湾苇湖庄兵团加油站对面
乌鲁木齐市爱之家居家老年公寓,"所在地区：
                    新疆 -                     乌鲁木齐市 -                     新市区",机构性质：民办,负  责  人：李经理,开业时间：2009年06月20日,占地面积：160,床位数：20张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍",收费区间：1500 - 3500,联  系  人：李经理,地        址：新疆乌鲁木齐市新市区喀什东路221号
奎屯市新华康宁养老院,"所在地区：
                    新疆 -                     伊犁哈萨克自治州 -                     奎屯市",机构性质：民办,负  责  人：梁铁琴,开业时间：2017年8月31日,占地面积：120000,建筑面积：5100,床位数：250张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护",联  系  人：马新泉,地        址：新疆维吾尔自治区奎屯市南环西路和丰街4号
乌鲁木齐经济技术开发区（乌鲁木齐市头屯河区）西域家园老年公寓,"所在地区：
                    新疆 -                     乌鲁木齐市 -                     头屯河区",机构性质：民办,开业时间：2018年12月3日,占地面积：90亩,床位数：200张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：2600 - 4200,"特色服务：
                    可接收异地老人",联  系  人：于晓明,地        址：乌鲁木齐经济技术开发区红纱滩路388号
